Full body antrenman     :Antrenmanda tum vucut calistirilir.
Overload                : Aşırı yüklenme anlamındandır.

Ödül günü (cheat day)   : Belirli kalori alımına vücudun uyumunu önlemek için diyet dönemlerinde kullanılan planlanmış özel bir gün.

Overtraining            : Aşırı antrenmandan dolayı verimin düşmesi.

Glikoz                  : Karbonhidratların vücutta taşınması.

Katabolizma             : Yıkım ya da kas dokusu kaybı.

Kortizol                : Stress anında vücudun salgıladığı bir hormon.

Anabolik                : Alıştırma ile kas dokusu üretme yeteneği, doku yapısının oluşturulması.

Posterior               : Arkada bulunan anlamındadır. Örneğin arka omuz kaslarından ‘deltoids posterior’.

Postür                  :İskelet sistemimizin doğru duruş şeklidir. Vücut kısımlarının diziliş ve düzenini ifade eder.

Flexibility (esneklik)  : Bir eklemin en geniş açıda hareket edebilme özelliğidir. Ekleme özel olarak uygulanır.

Deficit                 : Eksiklik, yetersiz anlamında kullanılmaktadır.

Posterior pelvic tilt   : Pelvisin içe doğru gömülmesi, Karın kaslarının gergin bel kaslarının güçsüz olduğu durum.

Deltoids                : Omuz.

Antrenman               : Üst düzey bir verimlilik, istenilen özelliklerin geliştirilmesine yönelik yapılan çalışmalar.

Protein sentezi         : Vücuda alınan besinler büyük moleküller halindeki proteinleri sindirimle parçalarlar. Ortaya çıkan amino asitler hücre içine alınırlar ve vücut yapısına uygun hale getirilirler.

Stretch refleksi        : Ani kas kasılmalarında verile geri tepki.

Decline                 : Aşağı doğru eğik olan.

Stabilite               :Sağlamlık, denge de tutan, dayanıklılık anlamında kullanılır.

Statik                  : Sabit duran, sabit olarak.

Posterior chain         : Vücudun arka zincir kaslarıdır, alt sırttan bacaklarınızın arkasına doğru giden kasların bir grubudur. Bu kaslar: lower back (alt sırt), gluteus (kalça), hamstring (arka bacak), calves (baldır).

Post                    : “Sonra”, “sonraki” anlamındandır.

Pre                     : “Önce”, “önceki” anlamındadır.

Sertlik (şiddet, yeğinlik): Antrenmanda sertlik 1RM değerine göre hesaplanmaktadır.

Set                     : Sporcunun dinlenmeye geçmeden önce belirli egzersizde yaptığı çalışmalardır. Tekrarlar yapılır, ardından dinlenilir ve yeni bir set başlar.

Scapula                 : Kürek kemiği.

Testosteron             : Erkeklerde baskın olan cinsiyet hormonudur. Gelişime önemli katkısı bulunmaktadır.

PR(Personel Record)     : Belirli bir antrenmanda kişinin kendi rekorunu kırmasıdır, kişisel rekor.

Dinamik                 :Hareketli olan, hareketli olarak yapilan.
RM                      :Tekrar maksimumu anlaminda. Genellikle 1RM de, 1 tekrarda yapilabilecek maksimum agirligi ifade eder.(Rep max)
Range of motion         :Hareketin baslangıc ve bitis noktasini temsil eder. Ornegin Bench Press hareketinde agirligin goguse indirilip tekrar yukari kaldirilmasi, hareket mesafesidir.
Volume                  :Antrenman hacmini ifade eder. Set x tekrar x agirlik olarak ifade edilir.
Toparlanma              :Antrenman sonrasi stresin vucuttan azaltilmasi ve diger antrenmana daha iyi sekilde hazirlanabilmek icin yapilan uygulamalar.
Recovery                :Antrenman sonrasi stresin vucuttan azaltilmasi ve diger antrenmana daha iyi sekilde hazirlanabilmek icin yapilan uygulamalar.
WADA                    :Dunya Dopingle Mucadele Ajansi.
WR                      :Dunya rekorlari.
Supinasyon              :Ayak tabaninin ice, el ic yuzunun one donmesi.
Superior                :Yukarida, ust tarafta bulunan.
Tekrarlar               :Bir set içinde uygulanan alıştırmanın tekrar sayısı. (reps)
Reps                    :Bir set icinde uygulanan alistirmanin tekrar sayisi. (Tekrarlar)
Tip1 kas tipleri        :Yavas kasilan kas fibrilleridir (oksidatif fibril).
Tip2 kas tipleri        :Hizli kasilan kas fibrilleridir ve 3’e ayrilir.
Tip2a                   :Hem oksidatif hem de glikolitik fibrildir. Kullanilan sporlara ornek: futbol, basketbol vb.
Tip2b                   :Hizli kasilan kas fibrilidir, ornek spor olarak: sprint kosuculari, halter sporculari vb.
Tip2c                   :Donusumlu fibrillerdir. Donusum arastırmalara gore %1 oranindadir, antrenmana bagli olarak fibrillerde donusum gorulebilir.
